2024-04-16 03:29:59.873 [main] INFO  c.p.l.LangRecognizerApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-16 03:30:01.382 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-16 03:30:01.747 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 355 ms. Found 3 JPA repository interfaces.
2024-04-16 03:30:03.422 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-16 03:30:03.468 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-16 03:30:03.484 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-16 03:30:03.484 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-04-16 03:30:03.625 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-16 03:30:03.625 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3691 ms
2024-04-16 03:30:04.098 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-16 03:30:04.336 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-04-16 03:30:04.399 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-04-16 03:30:05.033 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-16 03:30:05.111 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-16 03:30:06.393 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5c2a3f0c
2024-04-16 03:30:06.403 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-16 03:30:08.656 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-16 03:30:08.833 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-16 03:30:09.953 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-16 03:30:11.330 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-16 03:30:13.201 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2024-04-16 03:30:14.111 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-16 03:30:14.177 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-04-16 03:30:14.195 [main] INFO  c.p.l.LangRecognizerApplication - Started LangRecognizerApplication in 14.917 seconds (process running for 16.408)
2024-04-16 03:30:26.310 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-16 03:30:26.310 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-16 03:30:26.313 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-04-16 03:30:26.415 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] 
2024-04-16 03:30:26.548 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] returned: [Español, Nací en California]
2024-04-16 03:30:26.548 [http-nio-8080-exec-1] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [live] in 135ms
2024-04-16 03:30:31.870 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] 
2024-04-16 03:30:31.875 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] returned: []
2024-04-16 03:30:31.876 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] in 6ms
2024-04-16 03:30:35.134 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] 
2024-04-16 03:30:35.138 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method return: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] returned: []
2024-04-16 03:30:35.139 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method executed: com.project.langrecognizer.controller.TextController.getTextsSortedByTag with args: [livef] in 5ms
2024-04-16 03:32:06.081 [http-nio-8080-exec-6] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [1] 
2024-04-16 03:32:08.043 [http-nio-8080-exec-9] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [2] 
2024-04-16 03:32:57.680 [http-nio-8080-exec-10] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [1] 
2024-04-16 03:32:59.395 [http-nio-8080-exec-3] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [2] 
2024-04-16 03:33:00.695 [http-nio-8080-exec-4] INFO  c.p.l.aspect.LoggingAspect - Method called: com.project.langrecognizer.controller.TextController.getTextById with args: [3] 
